transaction_id,transaction_date,customer_id,customer_name,product_id,product_description,unit_price,quantity,total_order_size
TXN00065,2024-08-08,CUST005,Innovation Labs Ltd,PROD007,Standing Desk Converter,299.99,1,299.99
TXN00066,2024-08-12,CUST001,TechCorp Solutions,PROD002,USB-C Charging Cable 6ft,24.99,3,74.97
TXN00067,2024-08-15,CUST008,Professional Services Inc,PROD020,Multi-Port USB Hub 3.0,29.99,4,119.96
TXN00068,2024-08-18,CUST004,Enterprise Systems Co,PROD015,Portable Document Scanner,179.99,1,179.99
TXN00069,2024-08-22,CUST006,Strategic Ventures Group,PROD003,Portable External Battery 10000mAh,45.99,3,137.97
TXN00070,2024-08-25,CUST010,Smart Systems International,PROD018,LED Desk Lamp with USB Ports,59.99,1,59.99
TXN00071,2024-08-28,CUST007,Advanced Technologies Corp,PROD005,Mechanical Gaming Keyboard,129.99,2,259.98
TXN00072,2024-09-02,CUST003,Digital Dynamics LLC,PROD001,Wireless Bluetooth Headphones,89.99,3,269.97
TXN00073,2024-09-05,CUST009,Industrial Solutions Ltd,PROD014,Smart Home Hub Controller,149.99,1,149.99
TXN00074,2024-09-08,CUST002,Global Manufacturing Inc,PROD009,Laptop Cooling Pad,39.99,5,199.95
TXN00075,2024-09-12,CUST005,Innovation Labs Ltd,PROD016,Wireless Presentation Remote,25.99,3,77.97
TXN00076,2024-09-15,CUST001,TechCorp Solutions,PROD012,HD Monitor Stand Dual Arm,89.99,2,179.98
TXN00077,2024-09-18,CUST008,Professional Services Inc,PROD008,Blue Light Blocking Glasses,29.99,2,59.98
TXN00078,2024-09-22,CUST004,Enterprise Systems Co,PROD010,Wireless Phone Charger Pad,34.99,4,139.96
TXN00079,2024-09-25,CUST006,Strategic Ventures Group,PROD017,Cable Management Organizer,15.99,6,95.94
TXN00080,2024-09-28,CUST010,Smart Systems International,PROD006,4K Webcam with Auto Focus,199.99,1,199.99
TXN00081,2024-10-02,CUST007,Advanced Technologies Corp,PROD011,Noise Cancelling Ear Plugs,19.99,4,79.96
TXN00082,2024-10-05,CUST003,Digital Dynamics LLC,PROD004,Wireless Mouse with RGB Lighting,35.99,2,71.98
TXN00083,2024-10-08,CUST009,Industrial Solutions Ltd,PROD019,Bluetooth Conference Speaker,249.99,1,249.99
TXN00084,2024-10-12,CUST002,Global Manufacturing Inc,PROD013,Ergonomic Office Chair Cushion,49.99,1,49.99
TXN00085,2024-10-15,CUST005,Innovation Labs Ltd,PROD007,Standing Desk Converter,299.99,1,299.99
TXN00086,2024-10-18,CUST001,TechCorp Solutions,PROD002,USB-C Charging Cable 6ft,24.99,4,99.96
TXN00087,2024-10-22,CUST008,Professional Services Inc,PROD020,Multi-Port USB Hub 3.0,29.99,3,89.97
TXN00088,2024-10-25,CUST004,Enterprise Systems Co,PROD015,Portable Document Scanner,179.99,1,179.99
TXN00089,2024-10-28,CUST006,Strategic Ventures Group,PROD003,Portable External Battery 10000mAh,45.99,2,91.98
TXN00090,2024-11-02,CUST010,Smart Systems International,PROD018,LED Desk Lamp with USB Ports,59.99,2,119.98
TXN00091,2024-11-05,CUST007,Advanced Technologies Corp,PROD005,Mechanical Gaming Keyboard,129.99,1,129.99
TXN00092,2024-11-08,CUST003,Digital Dynamics LLC,PROD001,Wireless Bluetooth Headphones,89.99,1,89.99
TXN00093,2024-11-12,CUST009,Industrial Solutions Ltd,PROD014,Smart Home Hub Controller,149.99,1,149.99
TXN00094,2024-11-15,CUST002,Global Manufacturing Inc,PROD009,Laptop Cooling Pad,39.99,2,79.98
TXN00095,2024-11-18,CUST005,Innovation Labs Ltd,PROD016,Wireless Presentation Remote,25.99,1,25.99
TXN00096,2024-11-22,CUST001,TechCorp Solutions,PROD012,HD Monitor Stand Dual Arm,89.99,1,89.99
TXN00097,2024-11-25,CUST008,Professional Services Inc,PROD008,Blue Light Blocking Glasses,29.99,5,149.95
TXN00098,2024-11-28,CUST004,Enterprise Systems Co,PROD010,Wireless Phone Charger Pad,34.99,1,34.99
TXN00099,2024-12-02,CUST006,Strategic Ventures Group,PROD017,Cable Management Organizer,15.99,15,239.85
TXN00100,2024-12-26,CUST010,Smart Systems International,PROD006,4K Webcam with Auto Focus,199.99,1,199.99
